"cces_year","topic","q_code_common","q_code","q_label","wording"
2007,"immigration","immig_employer","CC12x_1","Sanction employers hiring undocumented","What do you think Congress and the President should do about immigration? Select all that apply. Fine US businesses that hire illegal immigrants."
2007,"immigration","immig_legalize","CC12x_2","Grant conditional legal status to undocumented","What do you think Congress and the President should do about immigration? Select all that apply. Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes."
2007,"immigration","immig_border","CC12x_4","Increase border security between US-Mexico","What do you think Congress and the President should do about immigration? Select all that apply. Increase the number of border patrol on the US-Mexican border."
2008,"spending","spending_cuts_most","cc309","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What would you most prefer that Congress do - cut domestic spending, cut military spending, or raise taxes?"
2008,"abortion","abortion_scale","cc310","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Which one of the opinions on this page best agrees with your view on abortion? [1 By law, abortion should never be permitted, 2 The law should permit abortion only in case of rape, incest or when the womans life is in danger, 3 The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established, 4 By law, a woman should always be able to obtain an abortion as a matter of personal choice]"
2008,"spending","spending_cuts_least","cc310a","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","What do you least want Congress to do?"
2008,"environment","enviro_vs_jobs","cc311","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)","Some people think it is important to protect the environment even if it costs some jobs or otherwise reduces our standard of living. Other people think that protecting the environment is not as important as maintaining jobs and our standard of living. Which is closer to the way you feel, or haven't you thought much about this?"
2008,"other","affirmativeaction","cc313","Opposition to affirmative action (1 = Support, 4 = Oppose)","Affirmative action programs give preference to racial minorities and to women in employment and college admissions in order to correct for discrimination. Do you support or oppose affirmative action?"
2008,"other","gaymarriage_ban","cc316f","Amendment banning gay marriage","Constitutional Amendment banning Gay Marriage"
2008,"military","military_oil","cc418_1","Approve of military ensuring oil supply","Would you approve of the use of U.S. military troops in order to...? Ensure the supply of oil"
2008,"military","military_terroristcamp","cc418_2","Approve of military to destroy terrorist camp","Would you approve of the use of U.S. military troops in order to...? Destroy a terrorist camp"
2008,"military","military_genocide","cc418_3","Approve of military to intervene in genocide or civil war","Would you approve of the use of U.S. military troops in order to...? Intervene in a region where there is genocide or a civil war"
2008,"military","military_democracy","cc418_4","Approve of military to assist in spread democracy","Would you approve of the use of U.S. military troops in order to...? Assist the spread of democracy"
2008,"military","military_protectallies","cc418_5","Approve of military to protect US allies under attack","Would you approve of the use of U.S. military troops in order to...? Protect American allies under attack by foreign nations"
2008,"military","military_helpun","cc418_6","Approve of military to help the United Nations uphold international law","Would you approve of the use of U.S. military troops in order to...? Help the United Nations uphold international law"
2008,"spending","spending_vs_tax","cc420","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income or sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more, raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and no tax increases). The point in the middle means that the budget should be balanced with equal amounts of spending cuts and tax increases.  If you are not sure, or don't know, please check the box below... Values in range 0 to 100"
2008,"other","incometax_vs_salestax","cc421","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, what share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes.  If you are not sure, or don't know, please check the box below... Values in range 0 to 100"
2008,NA,"case_id","v100","Respondent ID","Case ID"
2009,"environment","enviro_scale","cc09_51","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","Global Warming"
2009,"abortion","abortion_scale","cc09_53","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Abortion"
2009,"other","gaymarriage_ban","cc09_54","Amendment banning gay marriage","Gay Marriage"
2009,"other","affirmativeaction","cc09_55","Opposition to affirmative action (1 = Support, 4 = Oppose)","Affirmative Action"
2009,NA,"case_id","v100","Respondent ID","Case ID"
2010,"guns","guns_scale","CC320","Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)","In general, do you feel that the laws covering the sale of firearms should be made more strict, less strict, or kept as they are?"
2010,"environment","enviro_scale","CC321","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","From what you know about global climate change or global warming, which one of the following statements comes closest to your opinion? [1 Global climate change has been established as a serious problem, and immediate action is necessary. 2 here is enough evidence that climate change is taking place and some action should be taken. 3 We don’t know enough about global climate change, and more research is necessary before taking any actions. 4 Concern about global climate change is exaggerated. No action is necessary. 5 Global climate change is not occurring; this is not a real issue.]"
2010,"immigration","immig_employer","CC322_1","Sanction employers hiring undocumented","What do you think the U.S. government should do about immigration? Select all that apply. Fine Businesses"
2010,"immigration","immig_legalize","CC322_2","Grant conditional legal status to undocumented","What do you think the U.S. government should do about immigration? Select all that apply. Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes."
2010,"immigration","immig_border","CC322_4","Increase border security between US-Mexico","What do you think the U.S. government should do about immigration? Select all that apply. Increase the number of border patrols on the US-Mexican border."
2010,"immigration","immig_police","CC322_5","Allow police questioning of suspected undocumented","What do you think the U.S. government should do about immigration? Select all that apply. Allow police to question anyone they think may be in the country illegally."
2010,"abortion","abortion_scale","CC324","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Which one of the opinions on this page best agrees with your view on abortion? [1 By law, abortion should never be permitted, 2 The law should permit abortion only in case of rape, incest or when the womans life is in danger, 3 The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established, 4 By law, a woman should always be able to obtain an abortion as a matter of personal choice]"
2010,"environment","enviro_vs_jobs","CC325","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)","Some people think it is important to protect the environment even if it costs some jobs or otherwise reduces our standard of living. Other people think that protecting the environment is not as important as maintaining jobs and our standard of living. Which is closer to the way you feel, or haven't you thought much about this?"
2010,"other","gaymarriage_ban","CC326","Amendment banning gay marriage","Do you support a Constitutional Amendment banning Gay Marriage?"
2010,"other","affirmativeaction","CC327","Opposition to affirmative action (1 = Support, 4 = Oppose)","Affirmative action programs give preference to racial minorities in employment and college admissions in order to correct for past discrimination. Do you support or oppose affirmative action?"
2010,"spending","spending_cuts_most","CC328","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","The federal budget is approximately 600 billion this year. If the Congress were to balance the budget it would have to consider cutting defense spending, cutting domestic spending (such as Medicare or Social Security), or raising taxes to cover the deficit. What would you most prefer that Congress do - cut domestic spending, cut defense spending, or raise taxes?"
2010,"spending","spending_cuts_least","CC329","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","The federal budget is approximately 600 billion this year. If the Congress were to balance the budget it would have to consider cutting defense spending, cutting domestic spending (such as Medicare or Social Security), or raising taxes to cover the deficit. What do you least want Congress to do?"
2010,"military","military_oil","CC414_1","Approve of military ensuring oil supply","Would you approve of the use of U.S. military troops in order to...? Ensure the supply of oil"
2010,"military","military_terroristcamp","CC414_2","Approve of military to destroy terrorist camp","Would you approve of the use of U.S. military troops in order to...? Destroy a terrorist camp"
2010,"military","military_genocide","CC414_3","Approve of military to intervene in genocide or civil war","Would you approve of the use of U.S. military troops in order to...? Intervene in a region where there is genocide or a civil war"
2010,"military","military_democracy","CC414_4","Approve of military to assist in spread democracy","Would you approve of the use of U.S. military troops in order to...? Assist the spread of democracy"
2010,"military","military_protectallies","CC414_5","Approve of military to protect US allies under attack","Would you approve of the use of U.S. military troops in order to...? Protect American allies under attack by foreign nations"
2010,"military","military_helpun","CC414_6","Approve of military to help the United Nations uphold international law","Would you approve of the use of U.S. military troops in order to...? Help the United Nations uphold international law"
2010,"spending","spending_vs_tax","CC415r","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income or sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more, raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and no tax increases). The point in the middle means that the budget should be balanced with equal amounts of spending cuts and tax increases. If you are not sure, or don't know, please check the box below Values in range 0 to 100"
2010,"other","incometax_vs_salestax","CC416r","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, what share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes. If you are not sure, or don't know, please check the box below Values in range 0 to 100"
2010,NA,"case_id","V100","Respondent ID","Case ID"
2011,"environment","enviro_scale","CC350","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","Climate"
2011,"immigration","immig_legalize","CC351_1","Grant conditional legal status to undocumented","Immigration - Amnesty for long term residents"
2011,"immigration","immig_border","CC351_2","Increase border security between US-Mexico","Immigration - Increase border presence"
2011,"immigration","immig_police","CC351_3","Allow police questioning of suspected undocumented","Immigration - Police question those reasonably suspected of being illegal"
2011,"abortion","abortion_scale","CC352","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Abortion"
2011,"other","gaymarriage_ban","CC353","Amendment banning gay marriage","Gay Marriage"
2011,"other","affirmativeaction","CC354","Opposition to affirmative action (1 = Support, 4 = Oppose)","Affirmative Action"
2011,"spending","spending_cuts_most","CC355a","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","Budget Balance 1"
2011,"spending","spending_cuts_least","CC355b","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","Budget Balance 2"
2011,"military","military_oil","CC356_1","Approve of military ensuring oil supply","Ensure the supply of oil"
2011,"military","military_terroristcamp","CC356_2","Approve of military to destroy terrorist camp","Destroy a terrorist camp"
2011,"military","military_genocide","CC356_3","Approve of military to intervene in genocide or civil war","Intervene in a region where there is genocide or a civil war"
2011,"military","military_democracy","CC356_4","Approve of military to assist in spread democracy","Assist the spread of democracy"
2011,"military","military_protectallies","CC356_5","Approve of military to protect US allies under attack","Protect American allies under attack by foreign nations"
2011,"military","military_helpun","CC356_6","Approve of military to help the United Nations uphold international law","Help the United Nations uphold international law"
2011,"spending","spending_vs_tax","CC357","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","Raise Taxes or Cut Spending Rule"
2011,"other","incometax_vs_salestax","CC358","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","Income vs Sales Tax Rule"
2011,NA,"case_id","V100","Respondent ID","Case ID"
2012,"guns","guns_scale","CC320","Restriction scale on gun sales (1 = More strict, 2 = Less strict, 3 = Same)","In general, do you feel that the laws covering the sale of firearms should be... [1 More Strict, 2 Less Strict, 3 Kept As They Are]"
2012,"environment","enviro_scale","CC321","Opposition scale to climate change (1 = serious problem, 5 = not occuring)","From what you know about global climate change or global warming, which one of the following statements comes closest to your opinion? [1 Global Climate change has been established as a serious problem, and immediate action is necessary. 2 There is enough evidence that climate change is taking place and some action should be taken. 3 We don't know enough about global climate change, and more research is necessary before we take any actions. 4 Concern about global climate chane is exaggerated. No action is necessary. 5 Global climate change is not occurring; this is not a real issue]"
2012,"immigration","immig_legalize","CC322_1","Grant conditional legal status to undocumented","Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes."
2012,"immigration","immig_border","CC322_2","Increase border security between US-Mexico","Increase the number of border patrols on the US-Mexican border."
2012,"immigration","immig_police","CC322_3","Allow police questioning of suspected undocumented","Allow police to question anyone they think may be in the country illegally."
2012,"immigration","immig_employer","CC322_4","Sanction employers hiring undocumented","Fine US businesses that hire illegal immigrants."
2012,"immigration","immig_services","CC322_5","Prohibit services to immigrants","Prohibit illegal immigrants from using emergency hospital care and public schools."
2012,"abortion","abortion_scale","CC324","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Which one of the opinions on this page best agrees with your view on abortion? [1 By law, abortion should never be permitted, 2 The law should permit abortion only in case of rape, incest or when the womans life is in danger, 3 The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established, 4 By law, a woman should always be able to obtain an abortion as a matter of personal choice]"
2012,"environment","enviro_vs_jobs","CC325","Preference scale between environmental protection and job availability (1=Environmental protection, 5=Job protection)","Some people think it is important to protect the environment even if it costs some jobs or otherwise reduces our standard of living. Other people think that protecting the environment is not as important as maintaining jobs and our standard of living. Which is closer to the way you feel, or haven’t you thought much about this?"
2012,"other","gaymarriage_legalize","CC326","Support for legalizing gay marriage","Do you favor or oppose allowing gays and lesbians to marry legally?"
2012,"other","affirmativeaction","CC327","Opposition to affirmative action (1 = Support, 4 = Oppose)","Affirmative action programs give preference to racial minorities in employment and college admissions in order to correct for past discrimination. Do you support or oppose affirmative action?"
2012,"spending","spending_cuts_most","CC328","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","The federal budget deficit is approximately 1 trillion this year. If the Congress were to balance the budget it would have to consider cutting defense spending, cutting domestic spending (such as Medicare and Social Security), or raising taxes to cover the deficit. What would you MOST prefer that Congress do - cut domestic spending, cut defense spending, or raise taxes"
2012,"spending","spending_cuts_least","CC329","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","The federal budget deficit is approximately 1 trillion this year. If the Congress were to balance the budget it would have to consider cutting defense spending, cutting domestic spending (such as Medicare and Social Security), or raising taxes to cover the deficit. What would you LEAST prefer that Congress do - cut domestic spending, cut defense spending, or raise taxes"
2012,"health care","healthcare_aca","CC332G","Repeal the Affordable Care Act","Congress Considered many important bills over the past two years. For each of the following tell us whether you support or oppose the legislation in principle. Repeal Affordable Care Act. Would repeal the Affordable Care Act."
2012,"military","military_oil","CC414_1","Approve of military ensuring oil supply","Would you approve of the use of U.S. military troops in order to...? Ensure the supply of oil"
2012,"military","military_terroristcamp","CC414_2","Approve of military to destroy terrorist camp","Would you approve of the use of U.S. military troops in order to...? Destroy a terrorist camp"
2012,"military","military_genocide","CC414_3","Approve of military to intervene in genocide or civil war","Would you approve of the use of U.S. military troops in order to...? Intervene in a region where there is genocide or a civil war"
2012,"military","military_democracy","CC414_4","Approve of military to assist in spread democracy","Would you approve of the use of U.S. military troops in order to...? Assist the spread of democracy"
2012,"military","military_protectallies","CC414_5","Approve of military to protect US allies under attack","Would you approve of the use of U.S. military troops in order to...? Protect American allies under attack by foreign nations"
2012,"military","military_helpun","CC414_6","Approve of military to help the United Nations uphold international law","Would you approve of the use of U.S. military troops in order to...? Help the United Nations uphold international law"
2012,"spending","spending_vs_tax","CC415r","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income and sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and no tax increases). The point in the middle means that the budget should be balanced with equal amounts of spending cuts and tax increases. If you are Not sure, or don't know, please check the 'not sure' box."
2012,"other","incometax_vs_salestax","CC416r","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, what share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes. If you are Not sure, or don't know, please check the 'not sure' box."
2012,NA,"case_id","V101","Respondent ID","Case ID"
2013,NA,"case_id","caseid","Respondent ID","Case ID"
2013,"guns","guns_bgchecks","CC13_320a","Background checks for guns for all sales","On the issue of gun regulation, are you for or against each of the following proposals? Background checks for all sales, including at gun shows and over the Internet"
2013,"guns","guns_names","CC13_320b","Prohibit state and local publishing gun owner names","On the issue of gun regulation, are you for or against each of the following proposals? Prohibit state and local governments from publishing the names and addresses of all gun owners"
2013,"guns","guns_assaultban","CC13_320d","Ban assault rifles","On the issue of gun regulation, are you for or against each of the following proposals? Ban assault rifles"
2013,"guns","guns_permits","CC13_320e","Ease ability to obtain concealed-carry permits","On the issue of gun regulation, are you for or against each of the following proposals? Make it easier for people to obtain concealed-carry permit"
2013,"spending","spending_vs_tax","CC13_323","Preference scale from 0 (increasing taxes) to 100 (spending cuts on education, health care, welfare and construction)","If your state were to have a budget deficit this year it would have to raise taxes on income and sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and no tax increases). The point in the middle means that the budget should be balanced with equal amounts of spending cuts and tax increases. If you are Not sure, or don't know, please check the 'not sure' box."
2013,"other","incometax_vs_salestax","CC13_324","Preference scale from 0 (increase income tax) to 100 (increase sales tax)","If the state had to raise taxes, what share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes. If you are Not sure, or don't know, please check the 'not sure' box."
2013,"spending","spending_cuts_most","CC13_331a","Most preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","If your state were to have a budget deficit this year it would have to raise taxes on income and sales or cut spending, such as on education, health care, welfare, and road construction. What would you prefer more raising taxes or cutting spending? Choose a point along the scale from 100 percent tax increases (and no spending cuts) to 100 percent spending cuts (and no tax increases). The point in the middle means that the budget should be balanced with equal amounts of spending cuts and tax increases. If you are Not sure, or don't know, please check the 'not sure' box."
2013,"spending","spending_cuts_least","CC13_331b","Least preferred spending cut option (1=Defense, 2=Domestic, 3=Raise taxes)","If the state had to raise taxes, what share of the tax increase should come from increased income taxes and what share from increased sales taxes? Choose a point along the scale from 100 percent from sales (and none from income) to 100 percent from income (and none from sales). The point in the middle means that any increase in taxes should come equally from sales and income taxes. If you are Not sure, or don't know, please check the 'not sure' box."
2013,"military","military_oil","CC322_1","Approve of military ensuring oil supply","Would you approve of the use of U.S. military troops in order to...? Ensure the supply of oil"
2013,"military","military_terroristcamp","CC322_2","Approve of military to destroy terrorist camp","Would you approve of the use of U.S. military troops in order to...? Destroy a terrorist camp"
2013,"military","military_genocide","CC322_3","Approve of military to intervene in genocide or civil war","Would you approve of the use of U.S. military troops in order to...? Intervene in a region where there is genocide or a civil war"
2013,"military","military_democracy","CC322_4","Approve of military to assist in spread democracy","Would you approve of the use of U.S. military troops in order to...? Assist the spread of democracy"
2013,"military","military_protectallies","CC322_5","Approve of military to protect US allies under attack","Would you approve of the use of U.S. military troops in order to...? Protect American allies under attack by foreign nations"
2013,"military","military_helpun","CC322_6","Approve of military to help the United Nations uphold international law","Would you approve of the use of U.S. military troops in order to...? Help the United Nations uphold international law"
2013,"immigration","immig_legalize","CC326_1","Grant conditional legal status to undocumented","What do you think the U.S. government should do about immigration? Select all that apply. Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes."
2013,"immigration","immig_border","CC326_2","Increase border security between US-Mexico","What do you think the U.S. government should do about immigration? Select all that apply. Increase the number of border patrols on the U.S.-Mexican border."
2013,"immigration","immig_police","CC326_3","Allow police questioning of suspected undocumented","What do you think the U.S. government should do about immigration? Select all that apply. Allow police to question anyone they think may be in the country illegally."
2013,"immigration","immig_employer","CC326_4","Sanction employers hiring undocumented","What do you think the U.S. government should do about immigration? Select all that apply. Fine U.S. businesses that hire illegal immigrants."
2013,"immigration","immig_services","CC326_5","Prohibit services to immigrants","What do you think the U.S. government should do about immigration? Select all that apply. Prohibit illegal immigrants from using emergency hospital care and public schools."
2013,"abortion","abortion_scale","CC327","Support scale for access to abortion (1 = Never permit, 4 = Always allow)","Which one of the opinions on this page best agrees with your view on abortion? [1 By law, abortion should never bepermitted, 2 The law should permit abortion only incase of rape, incest or when thewoman's life is in danger, 3 The law should permit abortion forreasons other than rape, incest, ordanger to the woman's life, but onlyafter the need for the abortion has beenclearly established, 4 By law, a woman should always be ableto obtain an abortion as a matter ofpersonal choice]"
